Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
Meizu 16Xs,Android 9.0 (Pie); Flyme,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"64GB 6GB RAM, 128GB 6GB RAM",Non-removable Li-Po 4000 mAh battery
Meizu 16s,Android 9.0 (Pie); Flyme 7.3,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Non-removable Li-Po 3600 mAh battery
Meizu Note 9,Android 9.0 (Pie); Flyme 7.2,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Non-removable Li-Ion 4000 mAh battery
Meizu C9 Pro,Android 8.0 (Oreo); Flyme UI,Unisoc SC9832E,Quad-core 1.3 GHz Cortex-A53,Mali-820MP1,32GB 3GB RAM,Removable Li-Ion 3000 mAh battery
BlackBerry KEY2 LE,Android 8.1 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,Adreno 509,"32GB 4GB RAM, 64GB 4GB RAM",Non-removable Li-Ion 3000 mAh battery
BlackBerry Evolve X,Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),Adreno 512,64GB 6GB RAM,Non-removable Li-Ion 4000 mAh battery
BlackBerry Evolve,Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,64GB 4GB RAM,Non-removable Li-Ion 4000 mAh battery
BlackBerry KEY2,Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),Adreno 512,"64GB 6GB RAM, 128GB 6GB RAM",Non-removable Li-Ion 3500 mAh battery
BlackBerry Motion,Android 7.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,32GB 4GB RAM,Non-removable Li-Ion 4000 mAh battery
Asus ROG Phone II ZS660KL,"Android 9.0 (Pie), ROG UI",Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),"128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",Non-removable Li-Po 6000 mAh battery
